Infinitive,увле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,увлеку́
2nd Sing,увлечёшь
3rd Sing,увлечёт
1st Pl,увлечём
2nd Pl,увлечёте
3rd Pl,увлеку́т
Past M,увлёк
Past F,увлекла́
Past N,увлекло́
Past PL,увлекли́
Imp S,увлеки́
Imp PL,увлеки́те
