Infinitive,увенча́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увенча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́нчанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увенча́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увенча́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увенча́ю
2nd Sing,увенча́ешь
3rd Sing,увенча́ет
1st Pl,увенча́ем
2nd Pl,увенча́ете
3rd Pl,увенча́ют
Past M,увенча́л
Past F,увенча́ла
Past N,увенча́ло
Past PL,увенча́ли
Imp S,увенча́й
Imp PL,увенча́йте
