Infinitive,увезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увезу́
2nd Sing,увезёшь
3rd Sing,увезёт
1st Pl,увезём
2nd Pl,увезёте
3rd Pl,увезу́т
Past M,увёз
Past F,увезла́
Past N,увезло́
Past PL,увезли́
Imp S,увези́
Imp PL,увези́те
