Infinitive,увекове́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увекове́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увекове́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увекове́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увекове́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увекове́чу
2nd Sing,увекове́чишь
3rd Sing,увекове́чит
1st Pl,увекове́чим
2nd Pl,увекове́чите
3rd Pl,увекове́чат
Past M,увекове́чил
Past F,увекове́чила
Past N,увекове́чило
Past PL,увекове́чили
Imp S,увекове́чь
Imp PL,увекове́чьте
