Infinitive,уво́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уво́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уво́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уво́люсь
2nd Sing,уво́лишься
3rd Sing,уво́лится
1st Pl,уво́лимся
2nd Pl,уво́литесь
3rd Pl,уво́лятся
Past M,уво́лился
Past F,уво́лилась
Past N,уво́лилось
Past PL,уво́лились
Imp S,уво́лься
Imp PL,уво́льтесь
