Infinitive,уви́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уви́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уви́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уви́ливая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уви́ливав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уви́ливавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уви́ливаю
2nd Sing,уви́ливаешь
3rd Sing,уви́ливает
1st Pl,уви́ливаем
2nd Pl,уви́ливаете
3rd Pl,уви́ливают
Past M,уви́ливал
Past F,уви́ливала
Past N,уви́ливало
Past PL,уви́ливали
Imp S,уви́ливай
Imp PL,уви́ливайте
