Infinitive,уво́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уво́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уво́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уво́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уво́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уво́лю
2nd Sing,уво́лишь
3rd Sing,уво́лит
1st Pl,уво́лим
2nd Pl,уво́лите
3rd Pl,уво́лят
Past M,уво́лил
Past F,уво́лила
Past N,уво́лило
Past PL,уво́лили
Imp S,уво́ль
Imp PL,уво́льте
