Infinitive,уви́ть
Zaliznyak Class,11b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уви́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увью́
2nd Sing,увьёшь
3rd Sing,увьёт
1st Pl,увьём
2nd Pl,увьёте
3rd Pl,увью́т
Past M,уви́л
Past F,увила́
Past N,уви́ло
Past PL,уви́ли
Imp S,уве́й
Imp PL,уве́йте
