Infinitive,ува́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ува́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ува́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ува́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ува́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ува́жу
2nd Sing,ува́жишь
3rd Sing,ува́жит
1st Pl,ува́жим
2nd Pl,ува́жите
3rd Pl,ува́жат
Past M,ува́жил
Past F,ува́жила
Past N,ува́жило
Past PL,ува́жили
Imp S,ува́жь
Imp PL,ува́жьте
