Infinitive,увя́знуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,увя́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,увя́знувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увя́знув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увя́зши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увя́зну
2nd Sing,увя́знешь
3rd Sing,увя́знет
1st Pl,увя́знем
2nd Pl,увя́знете
3rd Pl,увя́знут
Past M,увя́з
Past F,увя́зла
Past N,увя́зло
Past PL,увя́зли
Imp S,увя́зни
Imp PL,увя́зните
