Infinitive,уве́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уве́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́ровав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уве́ровавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уве́рую
2nd Sing,уве́руешь
3rd Sing,уве́рует
1st Pl,уве́руем
2nd Pl,уве́руете
3rd Pl,уве́руют
Past M,уве́ровал
Past F,уве́ровала
Past N,уве́ровало
Past PL,уве́ровали
Imp S,уве́руй
Imp PL,уве́руйте
