Infinitive,увя́нуть
Zaliznyak Class,3°a⑥
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,увя́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увя́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,увя́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,увя́ну
2nd Sing,увя́нешь
3rd Sing,увя́нет
1st Pl,увя́нем
2nd Pl,увя́нете
3rd Pl,увя́нут
Past M,увя́л
Past F,увя́ла
Past N,увя́ло
Past PL,увя́ли
Imp S,увя́нь
Imp PL,увя́ньте
