Infinitive,увели́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увели́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увели́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,увели́чусь
2nd Sing,увели́чишься
3rd Sing,увели́чится
1st Pl,увели́чимся
2nd Pl,увели́читесь
3rd Pl,увели́чатся
Past M,увели́чился
Past F,увели́чилась
Past N,увели́чилось
Past PL,увели́чились
Imp S,увели́чься
Imp PL,увели́чьтесь
