Infinitive,увильну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,увильну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увильну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,увильну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,увильну́
2nd Sing,увильнёшь
3rd Sing,увильнёт
1st Pl,увильнём
2nd Pl,увильнёте
3rd Pl,увильну́т
Past M,увильну́л
Past F,увильну́ла
Past N,увильну́ло
Past PL,увильну́ли
Imp S,увильни́
Imp PL,увильни́те
