Infinitive,увенча́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увенча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увенча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,увенча́юсь
2nd Sing,увенча́ешься
3rd Sing,увенча́ется
1st Pl,увенча́емся
2nd Pl,увенча́етесь
3rd Pl,увенча́ются
Past M,увенча́лся
Past F,увенча́лась
Past N,увенча́лось
Past PL,увенча́лись
Imp S,увенча́йся
Imp PL,увенча́йтесь
