Infinitive,увели́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увели́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увели́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увели́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увели́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увели́чу
2nd Sing,увели́чишь
3rd Sing,увели́чит
1st Pl,увели́чим
2nd Pl,увели́чите
3rd Pl,увели́чат
Past M,увели́чил
Past F,увели́чила
Past N,увели́чило
Past PL,увели́чили
Imp S,увели́чь
Imp PL,увели́чьте
