Infinitive,уве́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уве́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уве́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уве́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уве́рю
2nd Sing,уве́ришь
3rd Sing,уве́рит
1st Pl,уве́рим
2nd Pl,уве́рите
3rd Pl,уве́рят
Past M,уве́рил
Past F,уве́рила
Past N,уве́рило
Past PL,уве́рили
Imp S,уве́рь
Imp PL,уве́рьте
