Infinitive,увле́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увлёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увлёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,увлеку́сь
2nd Sing,увлечёшься
3rd Sing,увлечётся
1st Pl,увлечёмся
2nd Pl,увлечётесь
3rd Pl,увлеку́тся
Past M,увлёкся
Past F,увлекла́сь
Past N,увлекло́сь
Past PL,увлекли́сь
Imp S,увлеки́сь
Imp PL,увлеки́тесь
