Infinitive,увяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,увяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,увяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увяжу́
2nd Sing,увя́жешь
3rd Sing,увя́жет
1st Pl,увя́жем
2nd Pl,увя́жете
3rd Pl,увя́жут
Past M,увяза́л
Past F,увяза́ла
Past N,увяза́ло
Past PL,увяза́ли
Imp S,увяжи́
Imp PL,увяжи́те
