Infinitive,уве́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уве́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уве́рюсь
2nd Sing,уве́ришься
3rd Sing,уве́рится
1st Pl,уве́римся
2nd Pl,уве́ритесь
3rd Pl,уве́рятся
Past M,уве́рился
Past F,уве́рилась
Past N,уве́рилось
Past PL,уве́рились
Imp S,уве́рься
Imp PL,уве́рьтесь
