Infinitive,уверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уверну́сь
2nd Sing,увернёшься
3rd Sing,увернётся
1st Pl,увернёмся
2nd Pl,увернётесь
3rd Pl,уверну́тся
Past M,уверну́лся
Past F,уверну́лась
Past N,уверну́лось
Past PL,уверну́лись
Imp S,уверни́сь
Imp PL,уверни́тесь
