Infinitive,увя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,увя́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увя́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,увя́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увя́зываюсь
2nd Sing,увя́зываешься
3rd Sing,увя́зывается
1st Pl,увя́зываемся
2nd Pl,увя́зываетесь
3rd Pl,увя́зываются
Past M,увя́зывался
Past F,увя́зывалась
Past N,увя́зывалось
Past PL,увя́зывались
Imp S,увя́зывайся
Imp PL,увя́зывайтесь
