Infinitive,увяда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,увяда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,увяда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увяда́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,увяда́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,увяда́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,увяда́ю
2nd Sing,увяда́ешь
3rd Sing,увяда́ет
1st Pl,увяда́ем
2nd Pl,увяда́ете
3rd Pl,увяда́ют
Past M,увяда́л
Past F,увяда́ла
Past N,увяда́ло
Past PL,увяда́ли
Imp S,увяда́й
Imp PL,увяда́йте
