Infinitive,увяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,увяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,увяжу́сь
2nd Sing,увя́жешься
3rd Sing,увя́жется
1st Pl,увя́жемся
2nd Pl,увя́жетесь
3rd Pl,увя́жутся
Past M,увяза́лся
Past F,увяза́лась
Past N,увяза́лось
Past PL,увяза́лись
Imp S,увяжи́сь
Imp PL,увяжи́тесь
