Infinitive,уви́деться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уви́девшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уви́девшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уви́жусь
2nd Sing,уви́дишься
3rd Sing,уви́дится
1st Pl,уви́димся
2nd Pl,уви́дитесь
3rd Pl,уви́дятся
Past M,уви́делся
Past F,уви́делась
Past N,уви́делось
Past PL,уви́делись
Imp S,—
Imp PL,—
