Infinitive,увести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уведу́
2nd Sing,уведёшь
3rd Sing,уведёт
1st Pl,уведём
2nd Pl,уведёте
3rd Pl,уведу́т
Past M,увёл
Past F,увела́
Past N,увело́
Past PL,увели́
Imp S,уведи́
Imp PL,уведи́те
