Infinitive,уве́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уве́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уве́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уве́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уве́шаю
2nd Sing,уве́шаешь
3rd Sing,уве́шает
1st Pl,уве́шаем
2nd Pl,уве́шаете
3rd Pl,уве́шают
Past M,уве́шал
Past F,уве́шала
Past N,уве́шало
Past PL,уве́шали
Imp S,уве́шай
Imp PL,уве́шайте
