Infinitive,увольня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,увольня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,увольня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,увольня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,увольня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,увольня́юсь
2nd Sing,увольня́ешься
3rd Sing,увольня́ется
1st Pl,увольня́емся
2nd Pl,увольня́етесь
3rd Pl,увольня́ются
Past M,увольня́лся
Past F,увольня́лась
Past N,увольня́лось
Past PL,увольня́лись
Imp S,увольня́йся
Imp PL,увольня́йтесь
