Infinitive,уве́домить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уве́домивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уве́домленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уве́домив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уве́домивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уве́домлю
2nd Sing,уве́домишь
3rd Sing,уве́домит
1st Pl,уве́домим
2nd Pl,уве́домите
3rd Pl,уве́домят
Past M,уве́домил
Past F,уве́домила
Past N,уве́домило
Past PL,уве́домили
Imp S,уве́доми
Imp PL,уве́домьте
