Infinitive,жму́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,жму́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жму́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жму́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жму́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жму́рюсь
2nd Sing,жму́ришься
3rd Sing,жму́рится
1st Pl,жму́римся
2nd Pl,жму́ритесь
3rd Pl,жму́рятся
Past M,жму́рился
Past F,жму́рилась
Past N,жму́рилось
Past PL,жму́рились
Imp S,жму́рься
Imp PL,жму́рьтесь
