Infinitive,пасти́сь
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пасу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,па́сшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пася́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,па́сшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пасу́сь
2nd Sing,пасёшься
3rd Sing,пасётся
1st Pl,пасёмся
2nd Pl,пасётесь
3rd Pl,пасу́тся
Past M,па́сся
Past F,пасла́сь
Past N,пасло́сь
Past PL,пасли́сь
Imp S,паси́сь
Imp PL,паси́тесь
