Infinitive,па́хнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,па́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,па́хший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,па́хнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,па́хнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,па́хши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,па́хну
2nd Sing,па́хнешь
3rd Sing,па́хнет
1st Pl,па́хнем
2nd Pl,па́хнете
3rd Pl,па́хнут
Past M,па́х
Past F,па́хла
Past N,па́хло
Past PL,па́хли
Imp S,па́хни
Imp PL,па́хните
