Infinitive,пая́сничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пая́сничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пая́сничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пая́сничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пая́сничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пая́сничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пая́сничаю
2nd Sing,пая́сничаешь
3rd Sing,пая́сничает
1st Pl,пая́сничаем
2nd Pl,пая́сничаете
3rd Pl,пая́сничают
Past M,пая́сничал
Past F,пая́сничала
Past N,пая́сничало
Past PL,пая́сничали
Imp S,пая́сничай
Imp PL,пая́сничайте
