Infinitive,па́дать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,па́дающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,па́давший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,па́дая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,па́дав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,па́давши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,па́даю
2nd Sing,па́даешь
3rd Sing,па́дает
1st Pl,па́даем
2nd Pl,па́даете
3rd Pl,па́дают
Past M,па́дал
Past F,па́дала
Past N,па́дало
Past PL,па́дали
Imp S,па́дай
Imp PL,па́дайте
