Infinitive,па́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,па́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,па́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,па́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,паду́
2nd Sing,падёшь
3rd Sing,падёт
1st Pl,падём
2nd Pl,падёте
3rd Pl,паду́т
Past M,па́л
Past F,па́ла
Past N,па́ло
Past PL,па́ли
Imp S,пади́
Imp PL,пади́те
