Infinitive,пальну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пальну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пальну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пальну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пальну́
2nd Sing,пальнёшь
3rd Sing,пальнёт
1st Pl,пальнём
2nd Pl,пальнёте
3rd Pl,пальну́т
Past M,пальну́л
Past F,пальну́ла
Past N,пальну́ло
Past PL,пальну́ли
Imp S,пальни́
Imp PL,пальни́те
