Infinitive,шмыгну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шмыгну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шмыгну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,шмыгну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,шмыгну́
2nd Sing,шмыгнёшь
3rd Sing,шмыгнёт
1st Pl,шмыгнём
2nd Pl,шмыгнёте
3rd Pl,шмыгну́т
Past M,шмыгну́л
Past F,шмыгну́ла
Past N,шмыгну́ло
Past PL,шмыгну́ли
Imp S,шмыгни́
Imp PL,шмыгни́те
