Infinitive,шмы́гать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шмы́гающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шмы́гавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шмы́гая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шмы́гав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шмы́гавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шмы́гаю
2nd Sing,шмы́гаешь
3rd Sing,шмы́гает
1st Pl,шмы́гаем
2nd Pl,шмы́гаете
3rd Pl,шмы́гают
Past M,шмы́гал
Past F,шмы́гала
Past N,шмы́гало
Past PL,шмы́гали
Imp S,шмы́гай
Imp PL,шмы́гайте
