Infinitive,мча́ться
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,мча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мчу́сь
2nd Sing,мчи́шься
3rd Sing,мчи́тся
1st Pl,мчи́мся
2nd Pl,мчи́тесь
3rd Pl,мча́тся
Past M,мча́лся
Past F,мча́лась
Past N,мча́лось
Past PL,мча́лись
Imp S,мчи́сь
Imp PL,мчи́тесь
