Infinitive,мча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мчи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мча́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,мча́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,мча́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,мчу́
2nd Sing,мчи́шь
3rd Sing,мчи́т
1st Pl,мчи́м
2nd Pl,мчи́те
3rd Pl,мча́т
Past M,мча́л
Past F,мча́ла
Past N,мча́ло
Past PL,мча́ли
Imp S,мчи́
Imp PL,мчи́те
