Infinitive,жужжа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,жужжа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жужжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жужжа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жужжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,жужжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,жужжу́
2nd Sing,жужжи́шь
3rd Sing,жужжи́т
1st Pl,жужжи́м
2nd Pl,жужжи́те
3rd Pl,жужжа́т
Past M,жужжа́л
Past F,жужжа́ла
Past N,жужжа́ло
Past PL,жужжа́ли
Imp S,жужжи́
Imp PL,жужжи́те
