Infinitive,плесну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,плесну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,плесну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,плесну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,плесну́
2nd Sing,плеснёшь
3rd Sing,плеснёт
1st Pl,плеснём
2nd Pl,плеснёте
3rd Pl,плесну́т
Past M,плесну́л
Past F,плесну́ла
Past N,плесну́ло
Past PL,плесну́ли
Imp S,плесни́
Imp PL,плесни́те
