Infinitive,пла́кать
Zaliznyak Class,6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пла́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пла́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пла́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пла́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пла́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пла́чу
2nd Sing,пла́чешь
3rd Sing,пла́чет
1st Pl,пла́чем
2nd Pl,пла́чете
3rd Pl,пла́чут
Past M,пла́кал
Past F,пла́кала
Past N,пла́кало
Past PL,пла́кали
Imp S,пла́чь
Imp PL,пла́чьте
