Infinitive,пла́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пла́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пла́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пла́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пла́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пла́влюсь
2nd Sing,пла́вишься
3rd Sing,пла́вится
1st Pl,пла́вимся
2nd Pl,пла́витесь
3rd Pl,пла́вятся
Past M,пла́вился
Past F,пла́вилась
Past N,пла́вилось
Past PL,пла́вились
Imp S,пла́вься
Imp PL,пла́вьтесь
