Infinitive,плени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,плени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пленённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,плени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пленю́
2nd Sing,плени́шь
3rd Sing,плени́т
1st Pl,плени́м
2nd Pl,плени́те
3rd Pl,пленя́т
Past M,плени́л
Past F,плени́ла
Past N,плени́ло
Past PL,плени́ли
Imp S,плени́
Imp PL,плени́те
