Infinitive,плодоноси́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,плодонося́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плодоноси́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плодонося́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плодоноси́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,плодоноси́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,плодоношу́
2nd Sing,плодоно́сишь
3rd Sing,плодоно́сит
1st Pl,плодоно́сим
2nd Pl,плодоно́сите
3rd Pl,плодоно́сят
Past M,плодоноси́л
Past F,плодоноси́ла
Past N,плодоноси́ло
Past PL,плодоноси́ли
Imp S,плодоноси́
Imp PL,плодоноси́те
