Infinitive,плести́сь
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,плету́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плётшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плетя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плётшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,плету́сь
2nd Sing,плетёшься
3rd Sing,плетётся
1st Pl,плетёмся
2nd Pl,плетётесь
3rd Pl,плету́тся
Past M,плёлся
Past F,плела́сь
Past N,плело́сь
Past PL,плели́сь
Imp S,плети́сь
Imp PL,плети́тесь
