Infinitive,плоди́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,плодя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плоди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плодя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плоди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пложу́сь
2nd Sing,плоди́шься
3rd Sing,плоди́тся
1st Pl,плоди́мся
2nd Pl,плоди́тесь
3rd Pl,плодя́тся
Past M,плоди́лся
Past F,плоди́лась
Past N,плоди́лось
Past PL,плоди́лись
Imp S,плоди́сь
Imp PL,плоди́тесь
