Infinitive,пла́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пла́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пла́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пла́вимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пла́вленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,пла́вя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,пла́вив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,пла́вивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,пла́влю
2nd Sing,пла́вишь
3rd Sing,пла́вит
1st Pl,пла́вим
2nd Pl,пла́вите
3rd Pl,пла́вят
Past M,пла́вил
Past F,пла́вила
Past N,пла́вило
Past PL,пла́вили
Imp S,пла́вь
Imp PL,пла́вьте
