Infinitive,плю́хаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,плю́хающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плю́хавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плю́хаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плю́хавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,плю́хаюсь
2nd Sing,плю́хаешься
3rd Sing,плю́хается
1st Pl,плю́хаемся
2nd Pl,плю́хаетесь
3rd Pl,плю́хаются
Past M,плю́хался
Past F,плю́халась
Past N,плю́халось
Past PL,плю́хались
Imp S,плю́хайся
Imp PL,плю́хайтесь
