Infinitive,плева́ть
Zaliznyak Class,2b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,плюю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плюя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,плева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,плюю́
2nd Sing,плюёшь
3rd Sing,плюёт
1st Pl,плюём
2nd Pl,плюёте
3rd Pl,плюю́т
Past M,плева́л
Past F,плева́ла
Past N,плева́ло
Past PL,плева́ли
Imp S,плю́й
Imp PL,плю́йте
