Infinitive,пла́каться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пла́чущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пла́кавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пла́чась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пла́кавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пла́чусь
2nd Sing,пла́чешься
3rd Sing,пла́чется
1st Pl,пла́чемся
2nd Pl,пла́четесь
3rd Pl,пла́чутся
Past M,пла́кался
Past F,пла́калась
Past N,пла́калось
Past PL,пла́кались
Imp S,пла́чься
Imp PL,пла́чьтесь
