Infinitive,пламене́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пламене́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пламене́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пламене́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пламене́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пламене́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пламене́ю
2nd Sing,пламене́ешь
3rd Sing,пламене́ет
1st Pl,пламене́ем
2nd Pl,пламене́ете
3rd Pl,пламене́ют
Past M,пламене́л
Past F,пламене́ла
Past N,пламене́ло
Past PL,пламене́ли
Imp S,пламене́й
Imp PL,пламене́йте
