Infinitive,плю́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,плю́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,плю́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,плю́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,плю́ну
2nd Sing,плю́нешь
3rd Sing,плю́нет
1st Pl,плю́нем
2nd Pl,плю́нете
3rd Pl,плю́нут
Past M,плю́нул
Past F,плю́нула
Past N,плю́нуло
Past PL,плю́нули
Imp S,плю́нь
Imp PL,плю́ньте
