Infinitive,плута́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,плута́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плута́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плута́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плута́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,плута́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,плута́ю
2nd Sing,плута́ешь
3rd Sing,плута́ет
1st Pl,плута́ем
2nd Pl,плута́ете
3rd Pl,плута́ют
Past M,плута́л
Past F,плута́ла
Past N,плута́ло
Past PL,плута́ли
Imp S,плута́й
Imp PL,плута́йте
