Infinitive,пла́вать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пла́вающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пла́вавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пла́вая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пла́вав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пла́вавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пла́ваю
2nd Sing,пла́ваешь
3rd Sing,пла́вает
1st Pl,пла́ваем
2nd Pl,пла́ваете
3rd Pl,пла́вают
Past M,пла́вал
Past F,пла́вала
Past N,пла́вало
Past PL,пла́вали
Imp S,пла́вай
Imp PL,пла́вайте
