Infinitive,асфальти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,асфальти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,асфальти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,асфальти́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,асфальти́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,асфальти́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,асфальти́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,асфальти́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,асфальти́рую
2nd Sing,асфальти́руешь
3rd Sing,асфальти́рует
1st Pl,асфальти́руем
2nd Pl,асфальти́руете
3rd Pl,асфальти́руют
Past M,асфальти́ровал
Past F,асфальти́ровала
Past N,асфальти́ровало
Past PL,асфальти́ровали
Imp S,асфальти́руй
Imp PL,асфальти́руйте
