Infinitive,мсти́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мстя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мсти́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мстя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мсти́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мсти́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мщу́
2nd Sing,мсти́шь
3rd Sing,мсти́т
1st Pl,мсти́м
2nd Pl,мсти́те
3rd Pl,мстя́т
Past M,мсти́л
Past F,мсти́ла
Past N,мсти́ло
Past PL,мсти́ли
Imp S,мсти́
Imp PL,мсти́те
