Infinitive,хму́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,хму́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хму́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хму́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хму́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хму́рюсь
2nd Sing,хму́ришься
3rd Sing,хму́рится
1st Pl,хму́римся
2nd Pl,хму́ритесь
3rd Pl,хму́рятся
Past M,хму́рился
Past F,хму́рилась
Past N,хму́рилось
Past PL,хму́рились
Imp S,хму́рься
Imp PL,хму́рьтесь
