Infinitive,хмы́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хмы́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хмы́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хмы́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хмы́кну
2nd Sing,хмы́кнешь
3rd Sing,хмы́кнет
1st Pl,хмы́кнем
2nd Pl,хмы́кнете
3rd Pl,хмы́кнут
Past M,хмы́кнул
Past F,хмы́кнула
Past N,хмы́кнуло
Past PL,хмы́кнули
Imp S,хмы́кни
Imp PL,хмы́кните
