Infinitive,хмы́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хмы́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хмы́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хмы́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хмы́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хмы́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хмы́каю
2nd Sing,хмы́каешь
3rd Sing,хмы́кает
1st Pl,хмы́каем
2nd Pl,хмы́каете
3rd Pl,хмы́кают
Past M,хмы́кал
Past F,хмы́кала
Past N,хмы́кало
Past PL,хмы́кали
Imp S,хмы́кай
Imp PL,хмы́кайте
