Infinitive,хмеле́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хмеле́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хмеле́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хмеле́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хмеле́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хмеле́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хмеле́ю
2nd Sing,хмеле́ешь
3rd Sing,хмеле́ет
1st Pl,хмеле́ем
2nd Pl,хмеле́ете
3rd Pl,хмеле́ют
Past M,хмеле́л
Past F,хмеле́ла
Past N,хмеле́ло
Past PL,хмеле́ли
Imp S,хмеле́й
Imp PL,хмеле́йте
