Infinitive,пя́титься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пя́тящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пя́тившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пя́тясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пя́тившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пя́чусь
2nd Sing,пя́тишься
3rd Sing,пя́тится
1st Pl,пя́тимся
2nd Pl,пя́титесь
3rd Pl,пя́тятся
Past M,пя́тился
Past F,пя́тилась
Past N,пя́тилось
Past PL,пя́тились
Imp S,пя́ться
Imp PL,пя́тьтесь
