Infinitive,пя́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пя́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пя́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пя́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пя́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пя́люсь
2nd Sing,пя́лишься
3rd Sing,пя́лится
1st Pl,пя́лимся
2nd Pl,пя́литесь
3rd Pl,пя́лятся
Past M,пя́лился
Past F,пя́лилась
Past N,пя́лилось
Past PL,пя́лились
Imp S,пя́лься
Imp PL,пя́льтесь
